MONATE_SEIT_EINFUEHRUNG_PROGRAMM_KOHORTE,MONAT,KOHORTE,ERSTER_MONAT_KOHORTE_FG,MONATE_SEIT_EXISTENZ_KOHORTE,KOHORTENGROESSE_INDEXIERT,KOHORTENGROESSE_KUMULIERT_INDEXIERT,IDENTIFIZIERTE_KUNDEN_INDEXIERT,RETENTIONRATE,UMSATZ_INDEXIERT,MONATLICHER_UMSATZ_INDEXIERT,UMSATZANTEIL_KOHORTE,ANZ_BONS_INDEXIERT,ABVERKAUF_INDEXIERT,RABATT_INDEXIERT,FREQUENZ_INDEXIERT,DURCHSCHNITTSBON_INDEXIERT,STUECKBON_INDEXIERT,UMSATZ_JE_KUNDE_INDEXIERT,ABVERKAUF_JE_KUNDE_INDEXIERT,RABATT_JE_KUNDE_INDEXIERT
-1,201601,201409,0,16,27.34,5.52,21.15,77.359100,56.39,151.10,0.006323724700,63.93,48.33,92.30,302.26,88.20,75.60,266.60,228.51,436.41
-1,201602,201409,0,17,27.34,5.52,21.22,77.600300,54.76,138.42,0.006704246600,63.06,45.94,116.25,297.21,86.84,72.85,258.11,216.51,547.92
-1,201603,201409,0,18,27.34,5.52,21.36,78.116600,61.28,171.54,0.006053463200,70.49,51.31,105.57,330.06,86.93,72.79,286.93,240.25,494.29
-1,201604,201409,0,19,27.34,5.52,21.37,78.155200,62.58,172.53,0.006146627300,70.15,52.81,137.75,328.31,89.20,75.27,292.87,247.12,644.66
-1,201605,201409,0,20,27.34,5.52,21.44,78.430100,64.84,183.72,0.005980502200,73.73,56.55,127.73,343.82,87.94,76.70,302.37,263.71,595.68
-1,201606,201409,0,21,27.34,5.52,21.74,79.520500,64.67,182.30,0.006011798600,73.97,58.11,168.71,340.20,87.44,78.56,297.47,267.26,775.97
-1,201607,201409,0,22,27.34,5.52,21.57,78.878800,62.35,191.25,0.005524034700,69.77,57.79,127.63,323.50,89.36,82.83,289.09,267.96,591.78
-1,201608,201409,0,23,27.34,5.52,21.21,77.590700,59.46,174.95,0.005759460800,67.52,54.93,133.29,318.29,88.06,81.35,280.29,258.94,628.31
-1,201609,201409,0,24,27.34,5.52,21.35,78.092400,56.74,168.55,0.005704605600,69.17,53.17,167.83,323.98,82.03,76.86,265.75,249.02,786.05
-1,201610,201409,0,25,27.34,5.52,21.96,80.321300,61.88,197.33,0.005313499000,72.44,56.70,177.07,329.85,85.42,78.27,281.76,258.17,806.29
-1,201611,201409,0,26,27.34,5.52,22.04,80.605900,59.73,193.64,0.005226834600,69.14,52.79,278.52,313.74,86.38,76.35,271.02,239.54,1263.80
