MONATE_SEIT_EINFUEHRUNG_PROGRAMM_KOHORTE,MONAT,monat_jahr,monat_monat,monat_jahreszeit,KOHORTE,kohorte_jahr,kohorte_monat,kohorte_jahreszeit,ERSTER_MONAT_KOHORTE_FG,MONATE_SEIT_EXISTENZ_KOHORTE,KOHORTENGROESSE_INDEXIERT,KOHORTENGROESSE_KUMULIERT_INDEXIERT,IDENTIFIZIERTE_KUNDEN_INDEXIERT,RETENTIONRATE,UMSATZ_INDEXIERT,MONATLICHER_UMSATZ_INDEXIERT,UMSATZANTEIL_KOHORTE,ANZ_BONS_INDEXIERT,ABVERKAUF_INDEXIERT,RABATT_INDEXIERT,FREQUENZ_INDEXIERT,DURCHSCHNITTSBON_INDEXIERT,STUECKBON_INDEXIERT,UMSATZ_JE_KUNDE_INDEXIERT,ABVERKAUF_JE_KUNDE_INDEXIERT,RABATT_JE_KUNDE_INDEXIERT
-1,201508,2015,8,Sommer,201409,2014,9,Herbst,0,11,27.34,5.52,21.37,78.1552,55.87,132.63,0.0071388785,69.79,57.03,94.39,326.62,80.06,81.71,261.48,266.88,441.72
-1,201509,2015,9,Herbst,201409,2014,9,Herbst,0,12,27.34,5.52,21.83,79.8437,53.79,127.05,0.0071745098,68.27,51.78,77.03,312.73,78.79,75.84,246.42,237.18,352.87
-1,201510,2015,10,Herbst,201409,2014,9,Herbst,0,13,27.34,5.52,21.61,79.0525,56.29,140.6,0.0067843688,69.61,51.66,92.53,322.05,80.87,74.22,260.45,239.02,428.13
-1,201511,2015,11,Herbst,201409,2014,9,Herbst,0,14,27.34,5.52,21.07,77.0455,56.38,136.74,0.0069871277,66.9,49.86,87.3,317.59,84.28,74.52,267.66,236.68,414.43
-1,201512,2015,12,Winter,201409,2014,9,Herbst,0,15,27.34,5.52,21.24,77.6775,64.14,167.2,0.0065003715,64.13,51.92,91.71,301.97,100.01,80.96,302.01,244.48,431.84
-1,201601,2016,1,Winter,201409,2014,9,Herbst,0,16,27.34,5.52,21.15,77.3591,56.39,151.1,0.0063237247,63.93,48.33,92.3,302.26,88.2,75.6,266.6,228.51,436.41
-1,201602,2016,2,Winter,201409,2014,9,Herbst,0,17,27.34,5.52,21.22,77.6003,54.76,138.42,0.0067042466,63.06,45.94,116.25,297.21,86.84,72.85,258.11,216.51,547.92
-1,201603,2016,3,Frühling,201409,2014,9,Herbst,0,18,27.34,5.52,21.36,78.1166,61.28,171.54,0.0060534632,70.49,51.31,105.57,330.06,86.93,72.79,286.93,240.25,494.29
-1,201604,2016,4,Frühling,201409,2014,9,Herbst,0,19,27.34,5.52,21.37,78.1552,62.58,172.53,0.0061466273,70.15,52.81,137.75,328.31,89.2,75.27,292.87,247.12,644.66
-1,201605,2016,5,Frühling,201409,2014,9,Herbst,0,20,27.34,5.52,21.44,78.4301,64.84,183.72,0.0059805022,73.73,56.55,127.73,343.82,87.94,76.7,302.37,263.71,595.68
-1,201606,2016,6,Sommer,201409,2014,9,Herbst,0,21,27.34,5.52,21.74,79.5205,64.67,182.3,0.0060117986,73.97,58.11,168.71,340.2,87.44,78.56,297.47,267.26,775.97
